"store","sku","qty","is_in_stock","gia_si","price"
"admin","BT048","100.0000","0","13000.0000","19000.0000"
"admin","DC008","0.0000","0","30000.0000","45000.0000"
"admin","DC009","0.0000","0","26000.0000","39000.0000"
"admin","DC010","0.0000","0","26000.0000","39000.0000"
"admin","DC011","0.0000","0","15000.0000","20000.0000"
"admin","DC012","0.0000","0","30000.0000","45000.0000"
"admin","DC013","0.0000","0","33000.0000","50000.0000"
"admin","DC014","0.0000","0","46000.0000","69000.0000"
"admin","DC015","0.0000","0","15000.0000","21000.0000"
"admin","DC019","3.0000","1","13000.0000","26000.0000"
"admin","DC024","0.0000","0","15000.0000","19000.0000"
"admin","DC025","0.0000","0","28000.0000","42000.0000"
"admin","DC029","0.0000","0","26000.0000","49000.0000"
"admin","DC030","0.0000","0","10000.0000","15000.0000"
"admin","DC033","0.0000","0","52000.0000","79000.0000"
"admin","DC034","0.0000","0","13000.0000","26000.0000"
"admin","N001","100.0000","0","16000.0000","32000.0000"
"admin","N002","100.0000","0","15000.0000","19000.0000"
"admin","N003","100.0000","0","10000.0000","20000.0000"
"admin","N004","100.0000","0","10000.0000","20000.0000"
"admin","N005","100.0000","0","25000.0000","29000.0000"
"admin","N006","100.0000","0","15000.0000","19000.0000"
"admin","N007","99.0000","1","15000.0000","19000.0000"
"admin","N008","100.0000","0","15000.0000","19000.0000"
"admin","N009","100.0000","0","15000.0000","19000.0000"
"admin","N010","100.0000","1","10000.0000","20000.0000"
"admin","N011","100.0000","0","12000.0000","24000.0000"
"admin","N012","100.0000","0","15000.0000","19000.0000"
"admin","N013","100.0000","0","10000.0000","20000.0000"
"admin","N014","100.0000","0","15000.0000","19000.0000"
"admin","N015","100.0000","0","15000.0000","19000.0000"
"admin","N016","100.0000","0","10000.0000","20000.0000"
"admin","N017","100.0000","0","13000.0000","26000.0000"
"admin","N018","100.0000","0","12000.0000","24000.0000"
"admin","BT011","100.0000","0","16000.0000","23000.0000"
"admin","BT012","100.0000","0","17000.0000","23000.0000"
"admin","N019","100.0000","0","10000.0000","20000.0000"
"admin","BT013","100.0000","0","15000.0000","19000.0000"
"admin","BT014","100.0000","0","10000.0000","20000.0000"
"admin","BT015","100.0000","0","15000.0000","19000.0000"
"admin","BT016","100.0000","0","13000.0000","19000.0000"
"admin","BT017","100.0000","0","13000.0000","19000.0000"
"admin","BT018","100.0000","0","19000.0000","29000.0000"
"admin","BT019","100.0000","0","23000.0000","35000.0000"
"admin","BT020","100.0000","0","13000.0000","19000.0000"
"admin","BT021","100.0000","0","10000.0000","20000.0000"
