"store","websites","attribute_set","type","category_ids","sku","has_options","name","url_key","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","meta_title","meta_description","image","small_image","thumbnail","custom_design","options_container","page_layout","gift_message_available","url_path","image_label","small_image_label","thumbnail_label","price","cost","weight","special_price","msrp","gia_si","description","meta_keyword","short_description","custom_layout_update","status","tax_class_id","visibility","manufacturer","enable_googlecheckout","is_recurring","news_from_date","news_to_date","special_from_date","special_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","mau_sac"
"admin","base","Bông Tai","simple","105,106,113","BT002","0","BT002","bt002"," ","Use config","Use config","","","/b/t/bt002_1.jpg","/b/t/bt002_1.jpg","/b/t/bt002_1.jpg","","Block after Info Column","No layout updates","No","bt002.html","","","","21000.0000","","0.0000","","","14000.0000","Bông tai BT002","","Bông tai BT002","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","","","","","","","3.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","","1","0","1","0","1","0.0000","1","0","0","0","1","BT002","0","simple","","",""
"admin","base","Bông Tai","simple","105,106,113","BT003","0","BT003","bt003"," ","Use config","Use config","","","/b/t/bt003.jpg","/b/t/bt003.jpg","/b/t/bt003.jpg","","Block after Info Column","No layout updates","No","bt003.html","","","","21000.0000","","0.0000","","","17000.0000","Bông tai BT003","","Bông tai BT003","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","","","","","","","5.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","BT003","0","simple","","",""
"admin","base","Bông Tai","simple","105,106,113","BT004","0","BT004","bt004"," ","Use config","Use config","","","/b/t/bt004.jpg","/b/t/bt004.jpg","/b/t/bt004.jpg","","Block after Info Column","No layout updates","No","bt004.html","","","","19000.0000","","0.0000","","","13000.0000","Bông tai BT004","","Bông tai BT004","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-07-05 00:00:00","2013-07-26 00:00:00","","","","","5.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","BT004","0","simple","","",""
"admin","base","Bông Tai","simple","105,106,113","BT005","0","BT005","bt005"," ","Use config","Use config","","","","","","","Block after Info Column","No layout updates","No","bt005.html","","","","19000.0000","","0.0000","","","15000.0000","Bông tai BT005","","Bông tai BT005","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2013-10-31 17:30:21","","1","0","1","1","1","0.0000","1","0","0","1","1","BT005","0","simple","","",""
"admin","base","Bông Tai","simple","105,106,113","BT006","0","BT006","bt006"," ","Use config","Use config","","","","","","","Block after Info Column","No layout updates","No","bt006.html","","","","29000.0000","","0.0000","","","19000.0000","Bông tai BT006","","Bông tai BT006","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2013-10-31 17:30:30","","1","0","1","1","1","0.0000","1","0","0","1","1","BT006","0","simple","","",""
"admin","base","Bông Tai","simple","105,106,113","BT007","0","BT007","bt007"," ","Use config","Use config","","","/b/t/bt007.jpg","/b/t/bt007.jpg","/b/t/bt007.jpg","","Block after Info Column","No layout updates","No","bt007.html","","","","35000.0000","","0.0000","","","25000.0000","Bông tai BT007","","Bông tai BT007","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","BT007","0","simple","","",""
"admin","base","Bông Tai","simple","105,106,113","BT008","0","BT008","bt008"," ","Use config","Use config","","","/b/t/bt008.jpg","/b/t/bt008.jpg","/b/t/bt008.jpg","","Block after Info Column","No layout updates","No","bt008.html","","","","35000.0000","","0.0000","","","25000.0000","Bông tai BT008","","Bông tai BT008","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2013-06-19 12:43:45","","1","0","1","1","1","0.0000","1","0","0","1","1","BT008","0","simple","","",""
"admin","base","Bông Tai","simple","105,106,113","BT009","0","BT009","bt009"," ","Use config","Use config","","","","","","","Block after Info Column","No layout updates","No","bt009.html","","","","20000.0000","","0.0000","15000.0000","","15000.0000","Bông tai BT009","","Bông tai BT009","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","","","2013-05-15 00:00:00","2013-05-31 00:00:00","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2013-10-31 17:30:33","","1","0","1","1","1","0.0000","1","0","0","1","1","BT009","0","simple","","",""
"admin","base","Bông Tai","simple","105,106,113","BT010","0","BT010","bt010"," ","Use config","Use config","","","/b/t/bt010.jpg","/b/t/bt010.jpg","/b/t/bt010.jpg","","Block after Info Column","No layout updates","No","bt010.html","","","","47000.0000","","0.0000","","","37000.0000","Bông tai BT010","","Bông tai BT010","","Vô hiệu","None","Catalog, Search","","Đồng ý","No","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","BT010","0","simple","","",""
"admin","base","Dây Chuyền","simple","105,107,113","DC001","0","DC001","dc001"," ","Use config","Use config","","","/d/c/dc001.jpg","/d/c/dc001.jpg","/d/c/dc001.jpg","","Block after Info Column","No layout updates","No","dc001.html","","","","45000.0000","","0.0000","","","30000.0000","Dây chuyền DC001","","Dây chuyền DC001","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2013-10-09 17:12:28","","1","0","1","1","1","0.0000","1","0","0","1","1","DC001","0","simple","","",""
"admin","base","Dây Chuyền","simple","105,107,113","DC002","0","DC002","dc002"," ","Use config","Use config","","","/d/c/dc002.jpg","/d/c/dc002.jpg","/d/c/dc002.jpg","","Block after Info Column","No layout updates","No","dc002.html","","","","49000.0000","","0.0000","","","32000.0000","Dây chuyền DC002","","Dây chuyền DC002","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2013-10-09 17:12:55","","1","0","1","1","1","0.0000","1","0","0","1","1","DC002","0","simple","","",""
"admin","base","Dây Chuyền","simple","105,107,113","DC003","0","DC003","dc003"," ","Use config","Use config","","","","","","","Block after Info Column","No layout updates","No","dc003.html","","","","59000.0000","","0.0000","","","49000.0000","Dây chuyền DC003","","Dây chuyền DC003","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2013-10-31 17:45:53","","1","0","1","1","1","0.0000","1","0","0","1","1","DC003","0","simple","","",""
"admin","base","Dây Chuyền","simple","105,107,113","DC004","0","DC004","dc004"," ","Use config","Use config","","","/d/c/dc004.jpg","/d/c/dc004.jpg","/d/c/dc004.jpg","","Block after Info Column","No layout updates","No","dc004.html","","","","65000.0000","","0.0000","","","43000.0000","Dây chuyền DC004","","Dây chuyền DC004","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2013-10-09 17:13:51","","1","0","1","1","1","0.0000","1","0","0","1","1","DC004","0","simple","","",""
"admin","base","Dây Chuyền","simple","105,107,113","DC005","0","DC005","dc005"," ","Use config","Use config","","","/d/c/dc005.jpg","/d/c/dc005.jpg","/d/c/dc005.jpg","","Block after Info Column","No layout updates","No","dc005.html","","","","75000.0000","","0.0000","","","50000.0000","Dây chuyền DC005","","Dây chuyền DC005","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2013-10-09 17:14:18","","1","0","1","1","1","0.0000","1","0","0","1","1","DC005","0","simple","","",""
"admin","base","Dây Chuyền","simple","105,107,113","DC006","0","DC006","dc006"," ","Use config","Use config","","","","","","","Block after Info Column","No layout updates","No","dc006.html","","","","49000.0000","","0.0000","","","39000.0000","Dây chuyền DC006","","Dây chuyền DC006","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2013-10-31 17:45:48","","1","0","1","1","1","0.0000","1","0","0","1","1","DC006","0","simple","","",""
