"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","url_key","thumbnail","gift_message_available","url_path","custom_design","options_container","image_label","small_image_label","thumbnail_label","page_layout","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","weight","price","cost","special_price","msrp","gia_si","description","meta_keyword","short_description","custom_layout_update","status","tax_class_id","visibility","manufacturer","enable_googlecheckout","is_recurring","news_from_date","news_to_date","special_from_date","special_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","mau_sac"
"admin","base","Bông Tai","simple","105,106,113","BT002","0","BT002","","","/b/t/bt002_1.jpg","/b/t/bt002_1.jpg","bt002","/b/t/bt002_1.jpg","No","bt002.html","","Block after Info Column","","","","No layout updates"," ","Use config","Use config","0.0000","21000.0000","","","","14000.0000","Bông tai BT002","","Bông tai BT002","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","","","","","","","3.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","","1","0","1","0","1","0.0000","1","0","0","0","1","BT002","0","simple","","",""
"admin","base","Bông Tai","simple","105,106,113","BT003","0","BT003","","","/b/t/bt003.jpg","/b/t/bt003.jpg","bt003","/b/t/bt003.jpg","No","bt003.html","","Block after Info Column","","","","No layout updates"," ","Use config","Use config","0.0000","21000.0000","","","","17000.0000","Bông tai BT003","","Bông tai BT003","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","","","","","","","2.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","BT003","0","simple","","",""
"admin","base","Bông Tai","simple","105,106,113","BT004","0","BT004","","","/b/t/bt004.jpg","/b/t/bt004.jpg","bt004","/b/t/bt004.jpg","No","bt004.html","","Block after Info Column","","","","No layout updates"," ","Use config","Use config","0.0000","19000.0000","","","","13000.0000","Bông tai BT004","","Bông tai BT004","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","2013-07-05 00:00:00","2013-07-26 00:00:00","","","","","5.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","BT004","0","simple","","",""
"admin","base","Bông Tai","simple","105,106,113","BT005","0","BT005","","","/b/t/bt005.jpg","/b/t/bt005.jpg","bt005","/b/t/bt005.jpg","No","bt005.html","","Block after Info Column","","","","No layout updates"," ","Use config","Use config","0.0000","19000.0000","","","","","Bông tai BT005","","Bông tai BT005","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2013-05-04 23:42:32","","1","0","1","1","1","0.0000","1","0","0","1","1","BT005","0","simple","","",""
"admin","base","Bông Tai","simple","105,106,113","BT006","0","BT006","","","/b/t/bt006.jpg","/b/t/bt006.jpg","bt006","/b/t/bt006.jpg","No","bt006.html","","Block after Info Column","","","","No layout updates"," ","Use config","Use config","0.0000","29000.0000","","","","","Bông tai BT006","","Bông tai BT006","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2013-05-04 23:42:32","","1","0","1","1","1","0.0000","1","0","0","1","1","BT006","0","simple","","",""
"admin","base","Bông Tai","simple","105,106,113","BT007","0","BT007","","","/b/t/bt007.jpg","/b/t/bt007.jpg","bt007","/b/t/bt007.jpg","No","bt007.html","","Block after Info Column","","","","No layout updates"," ","Use config","Use config","0.0000","35000.0000","","","","25000.0000","Bông tai BT007","","Bông tai BT007","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","BT007","0","simple","","",""
"admin","base","Bông Tai","simple","105,106,113","BT008","0","BT008","","","/b/t/bt008.jpg","/b/t/bt008.jpg","bt008","/b/t/bt008.jpg","No","bt008.html","","Block after Info Column","","","","No layout updates"," ","Use config","Use config","0.0000","35000.0000","","","","25000.0000","Bông tai BT008","","Bông tai BT008","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2013-06-19 12:43:45","","1","0","1","1","1","0.0000","1","0","0","1","1","BT008","0","simple","","",""
"admin","base","Bông Tai","simple","105,106,113","BT009","0","BT009","","","/b/t/bt009.jpg","/b/t/bt009.jpg","bt009","/b/t/bt009.jpg","No","bt009.html","","Block after Info Column","","","","No layout updates"," ","Use config","Use config","0.0000","20000.0000","","15000.0000","","","Bông tai BT009","","Bông tai BT009","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","","","2013-05-15 00:00:00","2013-05-31 00:00:00","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2013-05-20 10:01:38","","1","0","1","1","1","0.0000","1","0","0","1","1","BT009","0","simple","","",""
"admin","base","Bông Tai","simple","105,106,113","BT010","0","BT010","","","/b/t/bt010.jpg","/b/t/bt010.jpg","bt010","/b/t/bt010.jpg","No","bt010.html","","Block after Info Column","","","","No layout updates"," ","Use config","Use config","0.0000","47000.0000","","","","37000.0000","Bông tai BT010","","Bông tai BT010","","Vô hiệu","None","Catalog, Search","","Đồng ý","No","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","BT010","0","simple","","",""
"admin","base","Dây Chuyền","simple","105,107,113","DC001","0","DC001","","","/d/c/dc001.jpg","/d/c/dc001.jpg","dc001","/d/c/dc001.jpg","No","dc001.html","","Block after Info Column","","","","No layout updates"," ","Use config","Use config","0.0000","45000.0000","","","","","Dây chuyền DC001","","Dây chuyền DC001","","Hiệu lực","None","Catalog, Search","","Đồng ý","No","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2013-05-04 23:58:57","","1","0","1","1","1","0.0000","1","0","0","1","1","DC001","0","simple","","",""
